film_id,title,category,description,release_year,language,rental_duration,rental_rate,length,rating,special_features,last_update
1,"ACADEMY DINOSAUR",Documentary,"A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies",2006,English,6,0.99,86,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
2,"ACE GOLDFINGER",Horror,"A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China",2006,English,3,4.99,48,G,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
3,"ADAPTATION HOLES",Documentary,"A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory",2006,English,7,2.99,50,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
4,"AFFAIR PREJUDICE",Horror,"A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank",2006,English,5,2.99,117,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
5,"AFRICAN EGG",Family,"A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico",2006,English,6,2.99,130,G,"Deleted Scenes","2006-02-15 05:03:42"
6,"AGENT TRUMAN",Foreign,"A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China",2006,English,3,2.99,169,PG,"Deleted Scenes","2006-02-15 05:03:42"
7,"AIRPLANE SIERRA",Comedy,"A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat",2006,English,6,4.99,62,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
8,"AIRPORT POLLOCK",Horror,"A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India",2006,English,6,4.99,54,R,Trailers,"2006-02-15 05:03:42"
9,"ALABAMA DEVIL",Horror,"A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat",2006,English,3,2.99,114,PG-13,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
10,"ALADDIN CALENDAR",Sports,"A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China",2006,English,6,4.99,63,NC-17,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
11,"ALAMO VIDEOTAPE",Foreign,"A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention",2006,English,6,0.99,126,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
12,"ALASKA PHANTOM",Music,"A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia",2006,English,6,0.99,136,PG,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
13,"ALI FOREVER",Horror,"A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies",2006,English,4,4.99,150,PG,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
14,"ALICE FANTASIA",Classics,"A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia",2006,English,6,0.99,94,NC-17,"Trailers,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
15,"ALIEN CENTER",Foreign,"A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention",2006,English,5,2.99,46,NC-17,"Trailers,Commentaries,Behind the Scenes","2006-02-15 05:03:42"
16,"ALLEY EVOLUTION",Foreign,"A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans",2006,English,6,2.99,180,NC-17,"Trailers,Commentaries","2006-02-15 05:03:42"
17,"ALONE TRIP",Music,"A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House",2006,English,3,0.99,82,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
18,"ALTER VICTORY",Animation,"A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies",2006,English,6,0.99,57,PG-13,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
19,"AMADEUS HOLY",Action,"A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon",2006,English,6,0.99,113,PG,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
20,"AMELIE HELLFIGHTERS",Music,"A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon",2006,English,4,4.99,79,R,"Commentaries,Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
21,"AMERICAN CIRCUS",Action,"A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank",2006,English,3,4.99,129,R,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
22,"AMISTAD MIDSUMMER",New,"A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California",2006,English,6,2.99,85,G,"Commentaries,Behind the Scenes","2006-02-15 05:03:42"
23,"ANACONDA CONFESSIONS",Animation,"A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia",2006,English,3,0.99,92,R,"Trailers,Deleted Scenes","2006-02-15 05:03:42"
24,"ANALYZE HOOSIERS",Horror,"A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert",2006,English,6,2.99,181,R,"Trailers,Behind the Scenes","2006-02-15 05:03:42"
25,"ANGELS LIFE",New,"A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin",2006,English,3,2.99,74,G,Trailers,"2006-02-15 05:03:42"
26,"ANNIE IDENTITY",Sci-Fi,"A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park",2006,English,3,0.99,86,G,"Commentaries,Deleted Scenes","2006-02-15 05:03:42"
27,"ANONYMOUS HUMAN",Sports,"A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank",2006,English,7,0.99,179,NC-17,"Deleted Scenes,Behind the Scenes","2006-02-15 05:03:42"
